ranking,name,director_actor,info,rating_score,rating_num,introduce
94,致命ID,导演:詹姆斯·曼高德JamesMangold   主演:约翰·库萨克JohnCusack雷...,2003/美国/剧情悬疑惊悚,8.8,549165人评价,最不可能的那个人永远是最可能的。
95,加勒比海盗,导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp...,2003/美国/动作冒险奇幻,8.7,621635人评价,约翰尼·德普的独角戏。
96,断背山,导演:李安AngLee   主演:希斯·莱杰HeathLedger杰克·吉伦哈尔Jake...,2005/美国加拿大/剧情爱情同性家庭,8.8,526976人评价,每个人心中都有一座断背山。
97,杀人回忆,导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong金相庆Sang-kyun...,2003/韩国/剧情动作犯罪悬疑惊悚,8.8,452918人评价,关于连环杀人悬案的集体回忆。
98,狩猎,导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...,2012/丹麦瑞典/剧情,9.1,244469人评价,人言可畏。
99,幽灵公主,导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda石田百合...,1997/日本/动画奇幻冒险,8.9,387343人评价,人与自然的战争史诗。
100,哈利·波特与死亡圣器(下),导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...,2011/美国英国/奇幻冒险,8.8,519168人评价,10年的完美句点。
101,请以你的名字呼唤我,导演:卢卡·瓜达尼诺LucaGuadagnino   主演:艾米·汉莫ArmieHammer...,2017/意大利法国巴西美国荷兰德国/剧情爱情同性,8.9,435636人评价,沉醉在电影的情感和视听氛围中无法自拔。
102,阳光灿烂的日子,导演:姜文WenJiang   主演:夏雨YuXia宁静JingNing陶虹HongTao,1994/中国大陆中国香港/剧情爱情,8.8,444645人评价,一场华丽的意淫。
103,入殓师,导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki...,2008/日本/剧情,8.8,444802人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
104,重庆森林,导演:王家卫KarWaiWong   主演:林青霞BrigitteLin金城武TakeshiK...,1994/中国香港/剧情爱情,8.7,560012人评价,寂寞没有期限。
105,第六感,导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...,1999/美国/剧情悬疑惊悚,8.9,382658人评价,深入内心的恐怖，出人意料的结局。
106,小森林 夏秋篇,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto三浦贵大Takahir...,2014/日本/剧情,9.0,289379人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
107,7号房的礼物,导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo朴信惠Shi...,2013/韩国/剧情喜剧家庭,8.9,359277人评价,《我是山姆》的《美丽人生》。
108,消失的爱人,导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck罗莎蒙...,2014/美国/剧情犯罪悬疑惊悚,8.7,629687人评价,年度最佳date movie。
109,红辣椒,导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara江守彻Toru...,2006/日本/动画悬疑科幻惊悚,9.0,269240人评价,梦的勾结。
110,小森林 冬春篇,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto三浦贵大Takahir...,2015/日本/剧情,9.0,255526人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
111,爱在黎明破晓前,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,1995/美国奥地利瑞士/剧情爱情,8.8,412057人评价,缘分是个连绵词，最美不过一瞬。
112,侧耳倾听,导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna小林桂树K...,1995/日本/剧情爱情动画,8.9,318295人评价,少女情怀总是诗。
113,玛丽和马克思,导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette菲利...,2009/澳大利亚/剧情喜剧动画,8.9,327339人评价,你是我最好的朋友，你是我唯一的朋友 。
